name,comp_name,long_desc,,,,,,,,,,,
privacy and security,Cryptic Software,"Cryptic creates cloud based security, risk and compliance software to provide real-time monitoring and alerting of breaches, data loss and potential cyber attacks.

The Cryptic SIEM multi-tenanted software has been principally created for sale and implementation by managed service providers, and has been designed as a pay-as-you go solution.",,,,,,,,,,,
privacy and security,SafeMedia,"About
HaloNS is the Most Advanced Intrusion Detection and prevention (IPS/IDS) technology available to deliver and accelerate accurate and granular network security
Mission
SafeMedia's Network Security system, HaloNS, safely enables high-value, high-risk applications deployment, while mitigating the risks associated with such applications. SafeMedia's Intrusion detection and Prevention system, offers features including attack recognition beyond simple signature matching, dropping of malicious sessions as opposed to simple resetting of connections, and the deployment of dedicated hardware that can operate at wire speeds"".",,,,,,,,,,,
privacy and security,EMBRIA Technologies,"Embria provides SOA-based Web Platform for Enterprise Management Applications development, Process Automation and Governance, and Real-Time Information Control.

Violin Platform consists of set of integrated frameworks and middlewares that provide more agility and flexibility for software development and web applications management. This architecture provide business analysts all the essential tools to configure and control the behavior of multiple process, applications properties and all users interactions within it's operating environment.

All Violin Platform advanced governance and real time control functions are automatically acquired by any new developed application and/or integrated legacy application without the need of additional programming. This exclusive features provide a greater added value for the IT environment, enabling a unified governance of all corporate assets, in order to optimize investments in process automation and enterprise information management.

Violin Platform has a scalable processing architecture build to support a great number simultaneous data process in a uniform way, guaranteeing better performance and availability for application automation and mission-critical environments through Public Clouds or Private Clouds.",,,,,,,,,,,
privacy and security,Blue Security,"Blue Security has a long and proud history of serving the Durban community that goes back well over a decade. Before the company changed the name change to the current Blue Security that youâ€™ve become familiar with, the company was known as Enforce, which was founded in 1989.

The Company were initially only involved in guarding but started their expansion by opening an armed reaction division in 1995 . The company continued to make great strides in their industry  and they acquired Highbury Security, a firm specialising in alarms and armed response in the Hillcrest and Waterfall areas, in 1999. The new company was now known as the Enforce Security Group and they relocated to their present address in Pinetown.

As they broadened their horizons once more in 2000, the company bought Induna Security and their group of companies now included Enforce Electronics, Enforce Guarding, Justicia Investigations and Whistle Blowers and went on to achieve the ISO 9001:2000 international quality standard accreditation. Around 2000 they identified a need for more sophisticated electronic security solutions in the market and therefore formed a commercial security division. In 2003 the various component companies seperated and began to operate as independent companies.

Following the seperation they went from strength to strength as Enforce Electronic Security, they acquired the Armed Response division of Secureco in 2004 and further consolidated their presence in the market as a leading security firm. They then made the change from Enforce to the now well-known Blue Security in 2005, and theyâ€™ve maintained their reputation as Durbanâ€™s leading privately owned Armed Response company. So itâ€™s been twenty years and a lot has changed but a lot has stayed the same. Here we are â€“ still serving the community and proud to do just that!",,,,,,,,,,,
privacy and security,Kromek,"Kromek is pioneering digital colour imaging for x-rays and has brought ground-breaking innovation to materials technology and advanced 3D imaging, that will literally change the way in which we see the world.",,,,,,,,,,,
privacy and security,Third Brigade,"Third Brigade is a privately-held security and compliance software company headquartered in Ottawa, Canada. Trend Micro bought the business to accelerate its dynamic datacenter security strategy, and to provide customers with access to critical security and compliance software and vulnerability response services. These all contribute to protecting physical, virtual and cloud servers, and corporate endpoints, from sophisticated malware and malicious activity.",,,,,,,,,,,
privacy and security,Ambarella,"Ambarella is the technology leader in low power, high definition video compression and image processing semiconductors. Their products are helping to define a new class of hybrid digital cameras that bring consumers unmatched high definition video and digital still images together in one device.",,,,,,,,,,,
privacy and security,Identity Engines,"Identity Engines (idEngines) develops identity-based solutions for securing enterprise networks. It offers Ignition server, a network identity management device to centralize, streamline, and secure access across the network. The company also offers Ignition Portal that provides Web authentication capability to support network access control for various guest and visitor device types, operating systems, and browsers; Ignition Posture that provides endpoint posture checking; Ignition Guest Manager that secures network services for vendors and partners; and Ignition AutoConnect, an automated solution to streamline secure wireless and wired deployments.

idEngines was acquired by Avaya Inc/Nortel Networks in December of 2008, and is now part of Extreme Networks through Extreme's acquisition of Avaya's enterprise networking business.",,,,,,,,,,,
privacy and security,Exaprotect,"[Exaprotect](www.exaprotect.com), located in Mountain View, California, is a leading provider of security management for hundreds of enterprises and service providers with large-scale, heterogeneous infrastructures. By linking business policies to specific network configurations, Exaprotect's products increase operational efficiency of network and security teams, facilitate meeting regulatory and audit compliance and mitigate security risks.",,,,,,,,,,,
sports,Chill Factore,"Chill Factore is North West England's first indoor real snow Alpine village. It includes the UK's longest and widest real snow indoor ski slope, as well as a rock climbing wall, a toboggan run, a children's snowplay zone and an indoor skatepark.",,,,,,,,,,,
